scorer,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI,sub6_3m_spon_AVI
bodyparts,leftshoulder,leftshoulder,leftelbow,leftelbow,leftwrist,leftwrist,rightshoulder,rightshoulder,rightelbow,rightelbow,rightwrist,rightwrist
coords,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/sub6_3m_spon_AVI/img0006.png,396.1001251999722,222.0467900118245,426.9493983445781,316.4642623634973,449.38523335883707,390.31555261876616,245.5930653126522,209.8940460457676,206.33035403769912,295.89808026709335,185.76417194129516,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0021.png,397.9697781178271,222.98161647075193,426.0145718856507,313.65978298671496,439.102142310635,387.5110732419838,241.85375947694234,216.43783125825973,203.52587466091677,294.0284273492384,188.5686513180775,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0027.png,404.5135633303193,224.85126938860685,426.0145718856507,317.39908882242474,437.2324893927801,385.6414203241289,239.98410655908748,215.5030047993323,209.13483341448148,293.09360089031094,186.6989984002226,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0043.png,401.7090839535369,223.91644292967936,424.14491896779583,309.9204771510051,436.2976629338527,384.70659386520146,235.3099742644502,219.2423106350421,208.20000695555404,297.7677331849482,189.50347777700495,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0051.png,401.7090839535369,225.78609584753428,426.0145718856507,318.33391528135223,435.36283647492525,388.44589970091124,235.3099742644502,222.0467900118245,204.4607011198442,295.89808026709335,187.63382485915008,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0054.png,399.83943103568197,226.72092230646172,427.88422480350556,322.073221117062,439.102142310635,388.44589970091124,239.98410655908748,215.5030047993323,207.26518049662656,295.89808026709335,189.50347777700495,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0060.png,401.7090839535369,228.59057522431664,426.0145718856507,323.94287403491694,440.97179522848995,389.3807261598387,232.50549488766785,224.85126938860685,206.33035403769912,297.7677331849482,192.3079571537873,354.7921471795229
labeled-data/sub6_3m_spon_AVI/img0065.png,407.3180427071016,225.78609584753428,427.88422480350556,318.33391528135223,440.97179522848995,387.5110732419838,251.2020240662169,222.0467900118245,210.06965987340897,296.8329067260208,189.50347777700495,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0081.png,401.7090839535369,226.72092230646172,426.9493983445781,320.20356819920715,439.102142310635,389.3807261598387,239.98410655908748,222.0467900118245,207.26518049662656,295.89808026709335,189.50347777700495,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0087.png,401.7090839535369,221.111963552897,427.88422480350556,319.26874174027967,439.102142310635,386.5762467830564,240.9189330180149,222.98161647075193,208.20000695555404,296.8329067260208,189.50347777700495,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0097.png,403.57873687139175,224.85126938860685,426.0145718856507,316.4642623634973,439.102142310635,384.70659386520146,239.98410655908748,222.98161647075193,207.26518049662656,294.96325380816586,191.37313069485987,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0110.png,403.57873687139175,223.91644292967936,428.819051262433,319.26874174027967,444.7111010641998,387.5110732419838,241.85375947694234,220.17713709396958,204.4607011198442,290.2891215135286,192.3079571537873,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0114.png,403.57873687139175,221.111963552897,428.819051262433,318.33391528135223,440.97179522848995,382.83694094734653,245.5930653126522,225.78609584753428,208.20000695555404,291.2239479724561,197.91691590735206,360.40110593308765
labeled-data/sub6_3m_spon_AVI/img0126.png,401.7090839535369,225.78609584753428,427.88422480350556,322.073221117062,442.8414481463448,387.5110732419838,247.4627182305071,224.85126938860685,206.33035403769912,294.96325380816586,193.2427836127148,350.1180148848856
labeled-data/sub6_3m_spon_AVI/img0140.png,401.7090839535369,222.98161647075193,426.0145718856507,320.20356819920715,440.97179522848995,386.5762467830564,245.5930653126522,215.5030047993323,209.13483341448148,294.0284273492384,191.37313069485987,352.922494261668
labeled-data/sub6_3m_spon_AVI/img0162.png,399.83943103568197,222.98161647075193,426.0145718856507,319.26874174027967,440.97179522848995,388.44589970091124,243.72341239479726,219.2423106350421,208.20000695555404,294.0284273492384,195.1124365305697,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0216.png,404.5135633303193,226.72092230646172,427.88422480350556,320.20356819920715,442.8414481463448,387.5110732419838,248.39754468943454,222.98161647075193,210.06965987340897,297.7677331849482,198.8517423662795,350.1180148848856
labeled-data/sub6_3m_spon_AVI/img0248.png,405.44838978924673,222.98161647075193,427.88422480350556,314.5946094456424,444.7111010641998,386.5762467830564,250.26719760728946,215.5030047993323,211.0044863323364,294.0284273492384,196.98208944842457,357.5966265563053
labeled-data/sub6_3m_spon_AVI/img0280.png,399.83943103568197,221.111963552897,427.88422480350556,315.5294359045699,446.58075398205466,390.31555261876616,258.6806357376365,220.17713709396958,219.41792446268346,288.4194685956737,196.98208944842457,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0294.png,403.57873687139175,220.17713709396958,431.6235306392154,318.33391528135223,441.9066216874174,388.44589970091124,248.39754468943454,215.5030047993323,212.87413925019132,293.09360089031094,196.04726298949714,354.7921471795229
labeled-data/sub6_3m_spon_AVI/img0305.png,399.83943103568197,228.59057522431664,429.75387772136054,314.5946094456424,445.6459275231272,390.31555261876616,247.4627182305071,215.5030047993323,214.74379216804618,290.2891215135286,193.2427836127148,359.46627947416016
labeled-data/sub6_3m_spon_AVI/img0313.png,398.90460457675454,221.111963552897,427.88422480350556,317.39908882242474,440.97179522848995,384.70659386520146,249.33237114836197,223.91644292967936,214.74379216804618,292.1587744313835,189.50347777700495,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0319.png,398.90460457675454,225.78609584753428,426.0145718856507,308.9856506920777,440.97179522848995,385.6414203241289,248.39754468943454,226.72092230646172,212.87413925019132,293.09360089031094,195.1124365305697,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0330.png,404.5135633303193,222.98161647075193,429.75387772136054,311.79013006886004,444.7111010641998,388.44589970091124,243.72341239479726,224.85126938860685,213.80896570911875,293.09360089031094,195.1124365305697,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0331.png,401.7090839535369,222.98161647075193,430.68870418028797,313.65978298671496,446.58075398205466,390.31555261876616,243.72341239479726,225.78609584753428,213.80896570911875,291.2239479724561,195.1124365305697,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0332.png,403.57873687139175,222.0467900118245,431.6235306392154,312.72495652778747,445.6459275231272,386.5762467830564,244.6582388537247,229.52540168324413,216.6134450859011,290.2891215135286,193.2427836127148,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0336.png,400.77425749460946,220.17713709396958,429.75387772136054,316.4642623634973,445.6459275231272,385.6414203241289,245.5930653126522,223.91644292967936,212.87413925019132,287.48464213674623,201.65622174306185,353.85732072059545
labeled-data/sub6_3m_spon_AVI/img0367.png,397.9697781178271,221.111963552897,426.9493983445781,316.4642623634973,444.7111010641998,386.5762467830564,253.07167698407181,216.43783125825973,216.6134450859011,291.2239479724561,196.98208944842457,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0384.png,407.3180427071016,221.111963552897,427.88422480350556,312.72495652778747,441.9066216874174,387.5110732419838,249.33237114836197,221.111963552897,214.74379216804618,293.09360089031094,192.3079571537873,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0411.png,405.44838978924673,222.98161647075193,430.68870418028797,314.5946094456424,441.9066216874174,389.3807261598387,247.4627182305071,222.0467900118245,214.74379216804618,291.2239479724561,192.3079571537873,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0416.png,404.5135633303193,224.85126938860685,428.819051262433,316.4642623634973,441.9066216874174,387.5110732419838,248.39754468943454,224.85126938860685,214.74379216804618,290.2891215135286,195.1124365305697,354.7921471795229
labeled-data/sub6_3m_spon_AVI/img0424.png,404.5135633303193,231.395054601099,429.75387772136054,319.26874174027967,441.9066216874174,387.5110732419838,249.33237114836197,226.72092230646172,214.74379216804618,293.09360089031094,196.04726298949714,354.7921471795229
labeled-data/sub6_3m_spon_AVI/img0439.png,403.57873687139175,222.98161647075193,429.75387772136054,313.65978298671496,444.7111010641998,388.44589970091124,251.2020240662169,221.111963552897,216.6134450859011,292.1587744313835,198.8517423662795,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0455.png,404.5135633303193,221.111963552897,431.6235306392154,316.4642623634973,441.9066216874174,387.5110732419838,247.4627182305071,221.111963552897,214.74379216804618,290.2891215135286,193.2427836127148,352.922494261668
labeled-data/sub6_3m_spon_AVI/img0485.png,400.77425749460946,222.98161647075193,430.68870418028797,314.5946094456424,442.8414481463448,388.44589970091124,249.33237114836197,222.98161647075193,211.93931279126383,294.0284273492384,196.98208944842457,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0493.png,401.7090839535369,222.98161647075193,427.88422480350556,316.4642623634973,441.9066216874174,387.5110732419838,248.39754468943454,219.2423106350421,212.87413925019132,292.1587744313835,197.91691590735206,357.5966265563053
labeled-data/sub6_3m_spon_AVI/img0505.png,404.5135633303193,222.0467900118245,426.9493983445781,312.72495652778747,440.97179522848995,385.6414203241289,249.33237114836197,222.0467900118245,212.87413925019132,293.09360089031094,193.2427836127148,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0517.png,404.5135633303193,222.0467900118245,429.75387772136054,315.5294359045699,442.8414481463448,389.3807261598387,248.39754468943454,221.111963552897,217.5482715448286,291.2239479724561,192.3079571537873,354.7921471795229
labeled-data/sub6_3m_spon_AVI/img0548.png,403.57873687139175,220.17713709396958,430.68870418028797,318.33391528135223,440.97179522848995,387.5110732419838,245.5930653126522,225.78609584753428,216.6134450859011,287.48464213674623,197.91691590735206,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0592.png,404.5135633303193,222.98161647075193,431.6235306392154,314.5946094456424,442.8414481463448,385.6414203241289,247.4627182305071,220.17713709396958,212.87413925019132,288.4194685956737,197.91691590735206,358.5314530152327
labeled-data/sub6_3m_spon_AVI/img0596.png,399.83943103568197,221.111963552897,431.6235306392154,314.5946094456424,450.3200598177645,389.3807261598387,248.39754468943454,221.111963552897,217.5482715448286,290.2891215135286,203.52587466091677,357.5966265563053
labeled-data/sub6_3m_spon_AVI/img0606.png,403.57873687139175,223.91644292967936,428.819051262433,314.5946094456424,439.102142310635,380.96728802949167,244.6582388537247,222.98161647075193,213.80896570911875,292.1587744313835,199.78656882520693,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0611.png,396.1001251999722,222.0467900118245,426.9493983445781,308.05082423315025,426.9493983445781,360.40110593308765,245.5930653126522,219.2423106350421,214.74379216804618,285.6149892188913,193.2427836127148,356.66180009737786
labeled-data/sub6_3m_spon_AVI/img0623.png,400.77425749460946,221.111963552897,427.88422480350556,312.72495652778747,430.68870418028797,369.74937052236214,242.78858593586983,225.78609584753428,213.80896570911875,290.2891215135286,195.1124365305697,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0628.png,397.0349516588996,222.0467900118245,426.0145718856507,313.65978298671496,432.55835709814284,371.6190234402171,239.98410655908748,219.2423106350421,210.06965987340897,294.96325380816586,191.37313069485987,355.7269736384504
labeled-data/sub6_3m_spon_AVI/img0636.png,401.7090839535369,222.0467900118245,430.68870418028797,308.9856506920777,430.68870418028797,368.8145440634347,240.9189330180149,221.111963552897,211.93931279126383,293.09360089031094,195.1124365305697,352.922494261668
labeled-data/sub6_3m_spon_AVI/img0642.png,400.77425749460946,222.0467900118245,426.0145718856507,315.5294359045699,431.6235306392154,374.4235028169994,241.85375947694234,222.0467900118245,211.0044863323364,290.2891215135286,196.04726298949714,357.5966265563053
